# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];Trc13_S11[dB];Trc15_S21[dB];re:Trc16_S11[U];im:Trc16_S11[U];Trc17_S21[°];
5.263800000000000E+006;-4.654166403123938E-002;-2.503224387991921E+001;-9.855828064477664E-001;1.340415450005725E-001;7.235630721468205E+001;
5.263900000000000E+006;-4.641048541364262E-002;-2.504369562364374E+001;-9.855969973954687E-001;1.340486715857662E-001;7.233187577119435E+001;
5.264000000000000E+006;-4.686208870251893E-002;-2.503819780526550E+001;-9.855470364931048E-001;1.340322783975468E-001;7.238746814123661E+001;
5.264100000000000E+006;-4.668988590426021E-002;-2.505564345242252E+001;-9.855579062880203E-001;1.340986671509422E-001;7.231944004382424E+001;
5.264200000000000E+006;-4.684129422039788E-002;-2.506704956353180E+001;-9.855376457477570E-001;1.341189708308623E-001;7.236749411762224E+001;
5.264300000000000E+006;-4.744296429624809E-002;-2.505819282057400E+001;-9.854707526678288E-001;1.340995943414171E-001;7.232552936502728E+001;
5.264400000000000E+006;-4.695291652066677E-002;-2.505872113022270E+001;-9.855116788968638E-001;1.342149557420386E-001;7.231048635269319E+001;
5.264500000000000E+006;-4.714098495332484E-002;-2.506778350798210E+001;-9.854883464949737E-001;1.342266915900189E-001;7.240920011329162E+001;
5.264600000000000E+006;-4.746519829428086E-002;-2.504601117903810E+001;-9.854492703408966E-001;1.342385087040139E-001;7.236617503775770E+001;
5.264700000000000E+006;-4.691513279947060E-002;-2.504755565759150E+001;-9.855000961368421E-001;1.343320163251069E-001;7.235371994935885E+001;
5.264800000000000E+006;-4.719665807625662E-002;-2.504481100162663E+001;-9.854541481450062E-001;1.344303796858368E-001;7.235879120920357E+001;
5.264900000000000E+006;-4.756527641510333E-002;-2.503868453396930E+001;-9.854282688472118E-001;1.343077640940326E-001;7.232415517955204E+001;
5.265000000000000E+006;-4.696693470386629E-002;-2.501100004186694E+001;-9.854837143420753E-001;1.344082559277159E-001;7.228667588807244E+001;
5.265100000000000E+006;-4.801193167756662E-002;-2.500271711187216E+001;-9.853556986564004E-001;1.344614256124663E-001;7.228052499718669E+001;
5.265200000000000E+006;-4.742787155791701E-002;-2.499514745026898E+001;-9.854155095317735E-001;1.345177186118605E-001;7.233091952470441E+001;
5.265300000000000E+006;-4.717331890610541E-002;-2.498660802333730E+001;-9.854423013055635E-001;1.345369534634841E-001;7.240097689079298E+001;
5.265400000000000E+006;-4.721516857497973E-002;-2.498571337944923E+001;-9.854332398873349E-001;1.345678961764750E-001;7.228235157743704E+001;
5.265500000000000E+006;-4.750430949976379E-002;-2.497642173873610E+001;-9.853996673126756E-001;1.345690511835522E-001;7.224092713886124E+001;
